location_id,location_name,country,hotel_name,hotel_code,property_type,hotel_type,address,map_link,description,status,image_url_1,image_url_2,image_url_3,image_url_4,remarks
301,Khandala,India,Khandala Valley Mist Resort,KHA01,INTERNAL_PROPERTY,RESORT,"Old Mumbai-Pune Highway, Khandala, Maharashtra - 410301",https://maps.google.com/?q=Khandala+Maharashtra,Monsoon resort perched on Western Ghats cliffside with waterfall views and infinity pool.,ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Monsoon valley view getaway
254,Kosi,India,Kosi Riverbank Retreat & Lodge,KOS01,ASSOCIATED_PROPERTY,HOMESTAY,"Kosi River Edge, Dhikuli, Ramnagar, Uttarakhand - 244715",https://maps.google.com/?q=Dhikuli+Ramnagar,Riverside cottages located on the banks of Kosi River near Corbett National Park.,ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Corbett riverbank lodge
316,Kufri,India,Kufri Snow View Mountain Resort,KUF01,INTERNAL_PROPERTY,RESORT,"Fagu Road, Kufri, Shimla District, Himachal Pradesh - 171012",https://maps.google.com/?q=Kufri+Fun+World,"High-altitude winter sports resort featuring snow skiing, horse riding trails, and heated wooden chalets.",ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,Winter snow resort
257,Kumarakom,India,Kumarakom Backwater Lake Resort,KUM01,INTERNAL_PROPERTY,RESORT,"Kavanattinkara, Vembanad Lake Front, Kumarakom, Kerala - 686563",https://maps.google.com/?q=Vembanad+Lake+Kumarakom,"Vembanad lakefront resort with private Kettuvallam houseboats, Ayurvedic wellness massages, and coconut groves.",ACTIVE,https://images.unsplash.com/photo-1512100356356-de1b84283e18?auto=format&fit=crop&w=1000&q=80,,,,Kerala backwaters resort
324,Lansdowne,India,Lansdowne Oak Hills Resort,LAN01,INTERNAL_PROPERTY,RESORT,"Jaiharikhal Road, Lansdowne, Pauri Garhwal, Uttarakhand - 246155",https://maps.google.com/?q=Jaiharikhal+Lansdowne,Peaceful Garhwal hill resort tucked inside oak and pine forests away from city hustle.,ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Quiet pine hill resort
298,Lonavla,India,Lonavla Western Ghats Luxury Villa,LON01,INTERNAL_PROPERTY,VILLA,"Tungarli Lake Road, Lonavla, Maharashtra - 410401",https://maps.google.com/?q=Tungarli+Lake+Lonavla,"Modern private luxury villa with swimming pool, lawn garden, and mountain sunset views.",ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Weekend getaway villa
302,Mahabaleshwar,India,Mahabaleshwar Strawberry Valley Resort,MAH01,INTERNAL_PROPERTY,RESORT,"Kate's Point Road, Mahabaleshwar, Maharashtra - 412806",https://maps.google.com/?q=Kate's+Point+Mahabaleshwar,"Luxury hill resort surrounded by strawberry farms, featuring spa, game zones, and valley viewpoints.",ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,Strawberry farm hill resort
303,Moga,India,Moga Heritage Royal Hotel,MOG01,ASSOCIATED_PROPERTY,HOTEL,"GT Road, Near City Center, Moga, Punjab - 142001",https://maps.google.com/?q=GT+Road+Moga,"Premium Punjabi hospitality hotel with grand banquet halls, fine dining, and spacious executive suites.",ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,City center business & leisure hotel
297,Mohali,India,Mohali Parkside Suites,MOH01,ASSOCIATED_PROPERTY,APARTMENT,"Sector 62, Near PCA Cricket Stadium, Mohali, Punjab - 160062",https://maps.google.com/?q=PCA+Stadium+Mohali,Contemporary serviced apartments near PCA Stadium and IT Park with gym and cafe.,ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Stadium nearby modern suites
305,Panchgani,India,Panchgani Tableland Valley Resort,PAN01,INTERNAL_PROPERTY,RESORT,"Harrison's Folly Road, Panchgani, Maharashtra - 412805",https://maps.google.com/?q=Tableland+Panchgani,Hillside resort offering panoramic views of Tableland plateau and Krishna River valley.,ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Tableland view resort
299,Panchkula,India,Panchkula Shivalik Foothills Resort,PAN02,INTERNAL_PROPERTY,RESORT,"Sector 5, Near Golf Course, Panchkula, Haryana - 134109",https://maps.google.com/?q=Panchkula+Golf+Club,Lush green golf resort at the foothills of Shivalik hills near Chandigarh tri-city area.,ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,Golf resort near Chandigarh
318,Parwanoo,India,Parwanoo Timber Trail Cable Car Resort,PAR01,INTERNAL_PROPERTY,RESORT,"NH 22, Parwanoo, Solan District, Himachal Pradesh - 173220",https://maps.google.com/?q=Timber+Trail+Parwanoo,"Iconic hilltop resort accessible via private cable car ropeway, offering valley views.",ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Cable car ropeway hill resort
315,Thrissur,India,Thrissur Cultural Capital Hotel & Spa,THR01,ASSOCIATED_PROPERTY,HOTEL,"Swaraj Round North, Near Vadakkunnathan Temple, Thrissur, Kerala - 680001",https://maps.google.com/?q=Vadakkunnathan+Temple+Thrissur,Cultural hub heritage hotel near Vadakkunnathan Temple featuring traditional Kerala cuisine.,ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Heritage hotel near Vadakkunnathan Temple
246,United States of America,United States,Manhattan Grand Central Suite Hotel,USA01,ASSOCIATED_PROPERTY,HOTEL,"5th Avenue & 42nd Street, New York, NY, United States - 10018",https://maps.google.com/?q=5th+Avenue+New+York,Iconic 5th Avenue luxury hotel located steps away from Times Square and Central Park.,ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,NYC Manhattan luxury stay
320,Varanasi,India,Kashi Vishwanath Ganges Heritage Hotel,VAR01,INTERNAL_PROPERTY,HOTEL,"Godowlia Chowk, Near Kashi Vishwanath Corridor, Varanasi, UP - 221001",https://maps.google.com/?q=Kashi+Vishwanath+Corridor,Spiritual heritage hotel located steps away from Kashi Vishwanath Temple Corridor.,ACTIVE,https://images.unsplash.com/photo-1571536802807-30451e3955d8?auto=format&fit=crop&w=1000&q=80,,,,Near Kashi Vishwanath Corridor
307,Vrindavan,India,Vrindavan ISKCON Spiritual Retreat,VRI01,INTERNAL_PROPERTY,GUEST_HOUSE,"Bhaktivedanta Swami Marg, Chaitanya Vihar, Vrindavan, UP - 281121",https://maps.google.com/?q=Prem+Mandir+Vrindavan,Peaceful spiritual retreat located near Prem Mandir and Bankey Bihari Temple in Vrindavan.,ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,Spiritual stay near Prem Mandir
300,Zirakpur,India,Zirakpur Airport Plaza Hotel,ZIR01,ASSOCIATED_PROPERTY,HOTEL,"VIP Road, Near Airport Expressway, Zirakpur, Punjab - 140603",https://maps.google.com/?q=VIP+Road+Zirakpur,Modern business hotel convenient for Chandigarh airport transit and shopping centers.,ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Airport transit hotel
